id;label;timeset;gender;eccentricity;betweenesscentrality;harmonicclosnesscentrality;closnesscentrality;modularity_class;start date;end date;peak moment
58;Enjolras;;M;3.0;120.41734472098251;0.5593607305936072;0.4866666666666667;3;14/03/1838;14/03/1843;14868
64;Bossuet;;M;3.0;86.79532364780039;0.5456621004566209;0.48026315789473684;3;17/06/1840;17/06/1845;15692
57;Mabeuf;;M;4.0;75.5845238095238;0.47374429223744285;0.3967391304347826;3;28/09/1843;28/09/1848;16889
62;Courfeyrac;;M;4.0;14.070955798587379;0.48744292237442916;0.4010989010989011;3;23/01/1842;23/01/1847;16276
63;Bahorel;;M;4.0;5.538562314878104;0.476027397260274;0.3945945945945946;3;08/08/1840;08/08/1845;15745
65;Joly;;M;4.0;5.538562314878104;0.476027397260274;0.3945945945945946;3;22/04/1844;22/04/1849;17097
59;Combeferre;;M;4.0;3.1406926406926403;0.4691780821917808;0.3924731182795699;3;18/02/1844;18/02/1849;17032
61;Feuilly;;M;4.0;3.1406926406926403;0.4691780821917808;0.3924731182795699;3;22/04/1843;22/04/1848;16732
66;Grantaire;;M;4.0;0.42857142857142855;0.4372146118721461;0.3613861386138614;3;07/06/1841;07/06/1846;16047
47;MmeBurgon;;F;4.0;0.0;0.4029680365296803;0.37055837563451777;3;06/12/1846;06/12/1851;18055
60;Prouvaire;;M;4.0;0.0;0.430365296803653;0.35960591133004927;3;04/04/1845;04/04/1850;17444
67;MotherPlutarch;;F;5.0;0.0;0.31347031963470307;0.28515625;3;18/09/1842;18/09/1847;16516
73;Child1;;M;4.0;0.0;0.37785388127853886;0.3443396226415094;3;07/11/1840;07/11/1845;15833
74;Child2;;M;4.0;0.0;0.37785388127853886;0.3443396226415094;3;07/03/1844;07/03/1849;17052
76;MmeHucheloup;;F;4.0;0.0;0.4166666666666667;0.35609756097560974;3;09/10/1846;09/10/1851;17997
23;Fantine;;F;4.0;359.37027514968696;0.5490867579908677;0.47096774193548385;4;30/10/1850;30/10/1855;19479
16;Tholomyes;;M;4.0;106.27697563874035;0.46118721461187184;0.3945945945945946;4;31/01/1848;31/01/1853;18475
12;Marguerite;;F;4.0;0.0;0.4463470319634701;0.41954022988505746;4;26/12/1847;26/12/1852;18440
17;Listolier;;M;4.0;0.0;0.40296803652967983;0.3476190476190476;4;23/07/1849;23/07/1854;19016
18;Fameuil;;M;4.0;0.0;0.40296803652967983;0.3476190476190476;4;04/03/1848;04/03/1853;18510
19;Blacheville;;M;4.0;0.0;0.40296803652967983;0.3476190476190476;4;13/05/1845;13/05/1850;17484
20;Favourite;;F;4.0;0.0;0.40296803652967983;0.3476190476190476;4;13/04/1848;13/04/1853;18549
21;Dahlia;;F;4.0;0.0;0.40296803652967983;0.3476190476190476;4;31/08/1850;31/08/1855;19421
22;Zephine;;F;4.0;0.0;0.40296803652967983;0.3476190476190476;4;09/01/1845;09/01/1850;17357
