id;label;timeset;gender;eccentricity;betweenesscentrality;harmonicclosnesscentrality;closnesscentrality;modularity_class;start date;end date;peak moment
26;Cosette;;F;3.0;47.18836996336997;0.5342465753424659;0.48344370860927155;2;30/11/1933;30/11/1938;13300
31;Simplice;;F;4.0;23.491507512095748;0.4600456621004564;0.42441860465116277;2;30/03/1937;30/03/1942;14518
29;Bamatabois;;M;4.0;22.91666666666667;0.48744292237442916;0.43452380952380953;2;22/02/1936;22/02/1941;14114
50;Magnon;;F;4.0;0.6190476190476191;0.36529680365296785;0.33796296296296297;2;19/10/1939;19/10/1944;15450
10;Labarre;;M;4.0;0.0;0.42123287671232845;0.3989071038251366;2;10/10/1935;10/10/1940;13980
13;MmeDeR;;F;4.0;0.0;0.42123287671232845;0.3989071038251366;2;25/01/1935;25/01/1940;13721
14;Isabeau;;M;4.0;0.0;0.42123287671232845;0.3989071038251366;2;26/06/1939;26/06/1944;15336
15;Gervais;;M;4.0;0.0;0.42123287671232845;0.3989071038251366;2;25/08/1939;25/08/1944;15397
30;Perpetue;;F;5.0;0.0;0.3543378995433788;0.3230088495575221;2;13/10/1940;13/10/1945;15809
32;Scaufflaire;;M;4.0;0.0;0.42123287671232845;0.3989071038251366;2;27/04/1937;27/04/1942;14545
33;Woman1;;F;4.0;0.0;0.42808219178082163;0.4010989010989011;2;07/07/1936;07/07/1941;14252
34;Judge;;M;4.0;0.0;0.45547945205479423;0.4101123595505618;2;15/03/1939;15/03/1944;15234
35;Champmathieu;;M;4.0;0.0;0.45547945205479423;0.4101123595505618;2;20/09/1940;20/09/1945;15785
36;Brevet;;M;4.0;0.0;0.45547945205479423;0.4101123595505618;2;21/12/1939;21/12/1944;15513
37;Chenildieu;;M;4.0;0.0;0.45547945205479423;0.4101123595505618;2;31/07/1937;31/07/1942;14641
38;Cochepaille;;M;4.0;0.0;0.45547945205479423;0.4101123595505618;2;30/08/1938;30/08/1943;15037
43;Woman2;;F;4.0;0.0;0.43721461187214583;0.40555555555555556;2;16/05/1936;16/05/1941;14200
44;MotherInnocent;;F;4.0;0.0;0.4303652968036527;0.40331491712707185;2;29/03/1941;29/03/1946;15978
45;Gribier;;M;5.0;0.0;0.30753424657534234;0.2908366533864542;2;01/07/1936;01/07/1941;14246
52;MmePontmercy;;F;4.0;0.0;0.3801369863013698;0.3526570048309179;2;01/09/1936;01/09/1941;14305
53;MlleVaubois;;F;4.0;0.0;0.3253424657534245;0.3080168776371308;2;05/08/1937;05/08/1942;14646
56;BaronessT;;F;4.0;0.0;0.3801369863013697;0.3526570048309179;2;18/11/1940;18/11/1945;15844
72;Toussaint;;M;4.0;0.0;0.43721461187214583;0.40555555555555556;2;19/12/1941;19/12/1946;16242
48;Gavroche;;M;3.0;351.58888588191985;0.6118721461187215;0.5177304964539007;3;12/09/1945;12/09/1950;17604
58;Enjolras;;M;3.0;120.41734472098251;0.5593607305936072;0.4866666666666667;3;14/03/1938;14/03/1943;14868
64;Bossuet;;M;3.0;86.79532364780039;0.5456621004566209;0.48026315789473684;3;17/06/1940;17/06/1945;15692
57;Mabeuf;;M;4.0;75.5845238095238;0.47374429223744285;0.3967391304347826;3;28/09/1943;28/09/1948;16889
62;Courfeyrac;;M;4.0;14.070955798587379;0.48744292237442916;0.4010989010989011;3;23/01/1942;23/01/1947;16276
63;Bahorel;;M;4.0;5.538562314878104;0.476027397260274;0.3945945945945946;3;08/08/1940;08/08/1945;15745
65;Joly;;M;4.0;5.538562314878104;0.476027397260274;0.3945945945945946;3;22/04/1944;22/04/1949;17097
59;Combeferre;;M;4.0;3.1406926406926403;0.4691780821917808;0.3924731182795699;3;18/02/1944;18/02/1949;17032
61;Feuilly;;M;4.0;3.1406926406926403;0.4691780821917808;0.3924731182795699;3;22/04/1943;22/04/1948;16732
66;Grantaire;;M;4.0;0.42857142857142855;0.4372146118721461;0.3613861386138614;3;07/06/1941;07/06/1946;16047
47;MmeBurgon;;F;4.0;0.0;0.4029680365296803;0.37055837563451777;3;06/12/1946;06/12/1951;18055
60;Prouvaire;;M;4.0;0.0;0.430365296803653;0.35960591133004927;3;04/04/1945;04/04/1950;17444
67;MotherPlutarch;;F;5.0;0.0;0.31347031963470307;0.28515625;3;20/09/1942;20/09/1947;16516
73;Child1;;M;4.0;0.0;0.37785388127853886;0.3443396226415094;3;07/11/1940;07/11/1945;15833
74;Child2;;M;4.0;0.0;0.37785388127853886;0.3443396226415094;3;07/03/1944;07/03/1949;17052
76;MmeHucheloup;;F;4.0;0.0;0.4166666666666667;0.35609756097560974;3;09/10/1946;09/10/1951;17997
23;Fantine;;F;4.0;359.37027514968696;0.5490867579908677;0.47096774193548385;4;30/10/1950;30/10/1955;19479
16;Tholomyes;;M;4.0;106.27697563874035;0.46118721461187184;0.3945945945945946;4;31/01/1948;31/01/1953;18475
12;Marguerite;;F;4.0;0.0;0.4463470319634701;0.41954022988505746;4;26/12/1947;26/12/1952;18440
17;Listolier;;M;4.0;0.0;0.40296803652967983;0.3476190476190476;4;23/07/1949;23/07/1954;19016
18;Fameuil;;M;4.0;0.0;0.40296803652967983;0.3476190476190476;4;04/03/1948;04/03/1953;18510
19;Blacheville;;M;4.0;0.0;0.40296803652967983;0.3476190476190476;4;13/05/1945;13/05/1950;17484
20;Favourite;;F;4.0;0.0;0.40296803652967983;0.3476190476190476;4;13/04/1948;13/04/1953;18549
21;Dahlia;;F;4.0;0.0;0.40296803652967983;0.3476190476190476;4;31/08/1950;31/08/1955;19421
22;Zephine;;F;4.0;0.0;0.40296803652967983;0.3476190476190476;4;09/01/1945;09/01/1950;17357
